"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",418,177,170,239,313,463,487,644,821
" "," "," "," "," ","Value of Sales (Euro Million)",106.8,42.5,42.8,55.5,90.5,136.5,158.3,212.6,290.2
" "," "," "," "," ","Mean Sale Price (Euro)",255596,239847,251643,232369,289220,294851,324994,330125,353453
" "," "," "," "," ","Median Price (Euro)",237934,215951,249284,204981,260000,290000,320000,326963,349000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",95,68,75,65,79,41,37,28,30
" "," "," "," "," ","Value of Sales (Euro Million)",23.7,13.8,12.9,10.0,11.7,8.6,9.4,6.7,9.9
" "," "," "," "," ","Mean Sale Price (Euro)",249968,202419,171410,154034,147611,209540,254200,238238,329077
" "," "," "," "," ","Median Price (Euro)",232675,194475,130525,113500,129594,170250,217500,200895,255662
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",123,79,118,67,113,67,59,74,69
" "," "," "," "," ","Value of Sales (Euro Million)",25.2,12.4,13.4,6.9,11.5,9.5,9.9,14.2,13.9
" "," "," "," "," ","Mean Sale Price (Euro)",204694,156520,113732,102685,102114,142061,167658,191791,202042
" "," "," "," "," ","Median Price (Euro)",197490,137250,95887,79995,85125,136200,159999,183638,204999
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",81,64,61,72,83,81,59,52,33
" "," "," "," "," ","Value of Sales (Euro Million)",15.2,9.7,6.5,5.8,6.7,8.6,6.2,6.6,5.3
" "," "," "," "," ","Mean Sale Price (Euro)",187974,152127,106230,80813,80208,106395,104604,126385,161586
" "," "," "," "," ","Median Price (Euro)",185000,137500,95000,74388,59000,70000,94001,100732,124999
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",234,159,59,73,98,139,175,217,222
" "," "," "," "," ","Value of Sales (Euro Million)",52.8,29.1,13.3,13.2,14.4,23.4,34.5,53.0,66.3
" "," "," "," "," ","Mean Sale Price (Euro)",225550,183069,225166,180861,146551,168241,197374,244268,298696
" "," "," "," "," ","Median Price (Euro)",204379,170250,200001,149820,127000,168500,200581,237783,288550
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",62,45,40,34,56,91,58,21,14
" "," "," "," "," ","Value of Sales (Euro Million)",12.3,6.0,4.0,3.2,5.0,7.3,5.6,3.3,2.0
" "," "," "," "," ","Mean Sale Price (Euro)",198693,134333,98996,93073,90028,80195,96598,155803,140927
" "," "," "," "," ","Median Price (Euro)",189772,112365,82563,66250,80000,62425,80702,155000,141956
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",141,84,79,65,133,137,132,166,280
" "," "," "," "," ","Value of Sales (Euro Million)",32.4,17.2,16.1,10.8,20.7,21.8,28.6,41.8,72.9
" "," "," "," "," ","Mean Sale Price (Euro)",230047,204412,203560,165515,155367,159272,216702,251727,260187
" "," "," "," "," ","Median Price (Euro)",229425,191656,184999,162000,146000,154997,209487,238175,242766
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",144,81,77,62,115,143,87,78,75
" "," "," "," "," ","Value of Sales (Euro Million)",28.5,15.8,11.6,7.5,12.8,16.9,10.8,11.6,13.7
" "," "," "," "," ","Mean Sale Price (Euro)",198006,195312,150546,120918,111214,118390,124238,148232,183326
" "," "," "," "," ","Median Price (Euro)",185000,184999,141244,123507,90000,105000,119050,135600,159999
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",340,196,143,149,192,215,299,680,837
" "," "," "," "," ","Value of Sales (Euro Million)",82.5,46.0,27.6,31.9,41.0,56.4,87.5,201.8,267.6
" "," "," "," "," ","Mean Sale Price (Euro)",242551,234839,193079,213866,213519,262424,292591,296821,319687
" "," "," "," "," ","Median Price (Euro)",227000,228000,181600,195000,187944,263888,283000,284999,309499
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",76,53,38,47,76,49,36,35,15
" "," "," "," "," ","Value of Sales (Euro Million)",15.3,9.6,6.2,4.5,8.1,6.2,6.6,6.2,2.9
" "," "," "," "," ","Mean Sale Price (Euro)",200973,180562,162372,95576,107199,127119,184140,176158,192510
" "," "," "," "," ","Median Price (Euro)",185230,160000,146275,85125,97737,121750,182503,175925,189545
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",78,36,38,41,38,17,25,49,25
" "," "," "," "," ","Value of Sales (Euro Million)",15.0,7.1,5.2,4.0,3.8,2.5,2.5,9.1,3.8
" "," "," "," "," ","Mean Sale Price (Euro)",192273,197360,136813,97915,100179,147759,101511,185608,153211
" "," "," "," "," ","Median Price (Euro)",174525,170097,130043,73775,95000,102150,57885,175000,174999
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",98,56,64,97,69,47,55,29,48
" "," "," "," "," ","Value of Sales (Euro Million)",19.2,9.4,8.0,8.2,6.6,5.4,6.2,3.9,6.3
" "," "," "," "," ","Mean Sale Price (Euro)",196352,168044,125128,84263,95337,114276,113414,133764,130922
" "," "," "," "," ","Median Price (Euro)",188197,161437,113500,73775,73822,79450,90800,136200,119175
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",125,56,59,71,99,88,59,42,80
" "," "," "," "," ","Value of Sales (Euro Million)",23.7,9.8,7.9,9.0,12.8,9.8,9.5,7.5,16.2
" "," "," "," "," ","Mean Sale Price (Euro)",189413,174520,134388,126283,129731,111270,160427,178662,202480
" "," "," "," "," ","Median Price (Euro)",170250,143438,114999,93269,117735,104073,161993,158900,170250
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",152,131,57,48,65,61,92,100,64
" "," "," "," "," ","Value of Sales (Euro Million)",31.7,29.9,11.3,5.2,8.6,9.4,13.6,15.6,14.0
" "," "," "," "," ","Mean Sale Price (Euro)",208880,227870,197506,108063,132626,154807,148175,156148,218356
" "," "," "," "," ","Median Price (Euro)",193475,198625,175925,101857,113500,149999,147525,155000,186638
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",111,73,53,60,50,69,107,140,136
" "," "," "," "," ","Value of Sales (Euro Million)",27.8,13.0,8.7,8.5,6.5,12.2,19.5,31.1,32.9
" "," "," "," "," ","Mean Sale Price (Euro)",250216,177428,163710,141158,130022,176805,181792,221885,241950
" "," "," "," "," ","Median Price (Euro)",230000,178062,167000,139875,119588,171835,179018,197649,223047
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",130,92,72,74,99,45,54,45,63
" "," "," "," "," ","Value of Sales (Euro Million)",23.0,13.4,8.2,9.4,12.5,5.9,8.8,9.7,13.9
" "," "," "," "," ","Mean Sale Price (Euro)",176764,145316,113671,127157,126142,131796,162713,215480,219989
" "," "," "," "," ","Median Price (Euro)",169783,136940,97975,124925,114450,112000,149253,204300,221325
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",208,103,104,86,125,167,110,143,141
" "," "," "," "," ","Value of Sales (Euro Million)",44.3,20.9,16.1,11.1,18.7,25.6,20.2,27.3,36.8
" "," "," "," "," ","Mean Sale Price (Euro)",212849,203128,155212,129163,149321,153337,183552,190984,261100
" "," "," "," "," ","Median Price (Euro)",191109,189999,149904,119057,139000,153225,173850,182000,250000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",233,101,84,105,112,155,229,337,353
" "," "," "," "," ","Value of Sales (Euro Million)",69.9,28.4,21.1,24.0,27.5,52.0,83.0,132.8,144.3
" "," "," "," "," ","Mean Sale Price (Euro)",299836,281270,250703,228658,245473,335732,362612,394071,408652
" "," "," "," "," ","Median Price (Euro)",265000,257892,223595,206570,228000,299000,332999,390000,399999
" "," "," ","Existing"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",13301,13347,17661,21362,30065,35607,34633,36116,35900
" "," "," "," "," ","Value of Sales (Euro Million)",3524.0,3064.2,3631.8,4470.6,6529.8,7830.1,8218.0,9317.3,9722.8
" "," "," "," "," ","Mean Sale Price (Euro)",264943,229580,205639,209280,217188,219903,237288,257981,270830
" "," "," "," "," ","Median Price (Euro)",225000,185000,160000,155000,160000,170000,185000,205000,221000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",95,112,159,204,289,356,387,377,414
" "," "," "," "," ","Value of Sales (Euro Million)",18.2,16.3,17.7,24.4,31.8,44.9,54.5,56.8,71.0
" "," "," "," "," ","Mean Sale Price (Euro)",192045,145767,111312,119836,109883,126124,140810,150634,171470
" "," "," "," "," ","Median Price (Euro)",180000,130000,100000,101000,100000,121000,135000,142500,167750
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",111,156,192,274,403,523,527,593,572
" "," "," "," "," ","Value of Sales (Euro Million)",16.1,20.3,20.8,27.8,38.4,53.2,60.0,78.1,80.3
" "," "," "," "," ","Mean Sale Price (Euro)",145267,129855,108339,101540,95295,101715,113812,131776,140438
" "," "," "," "," ","Median Price (Euro)",135000,117000,88000,91000,80500,84900,95000,125000,125000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",350,326,438,489,719,893,905,944,866
" "," "," "," "," ","Value of Sales (Euro Million)",61.6,53.4,58.9,60.6,84.6,113.9,131.9,148.9,150.3
" "," "," "," "," ","Mean Sale Price (Euro)",175870,163816,134364,123919,117626,127519,145718,157752,173537
" "," "," "," "," ","Median Price (Euro)",165000,146828,117500,102000,99000,110000,130000,144975,165820
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",1416,1568,1962,2281,3368,4054,3878,4113,3951
" "," "," "," "," ","Value of Sales (Euro Million)",335.5,326.1,353.1,391.7,587.7,783.2,813.6,905.6,942.5
" "," "," "," "," ","Mean Sale Price (Euro)",236956,207955,179965,171717,174483,193198,209789,220187,238545
" "," "," "," "," ","Median Price (Euro)",216000,186815,160000,150000,150000,165000,184000,200000,220000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",356,358,458,530,762,1060,1067,911,1001
" "," "," "," "," ","Value of Sales (Euro Million)",56.3,46.6,53.5,53.2,76.0,119.6,116.7,110.0,120.5
" "," "," "," "," ","Mean Sale Price (Euro)",158118,130073,116786,100336,99788,112834,109352,120792,120411
" "," "," "," "," ","Median Price (Euro)",140000,115000,100000,85750,85000,95000,95000,109000,114000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",5111,4663,6497,7857,9849,10882,10759,11145,10798
" "," "," "," "," ","Value of Sales (Euro Million)",1813.7,1520.2,1927.2,2501.2,3475.5,3910.0,4170.1,4698.1,4747.0
" "," "," "," "," ","Mean Sale Price (Euro)",354853,326011,296626,318345,352882,359307,387590,421539,439621
" "," "," "," "," ","Median Price (Euro)",290000,260000,225000,240000,274000,287500,300000,337500,350000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",570,620,817,1091,1654,2059,1725,1839,1881
" "," "," "," "," ","Value of Sales (Euro Million)",138.0,121.8,143.2,184.7,279.8,359.2,333.7,387.5,432.2
" "," "," "," "," ","Mean Sale Price (Euro)",242112,196417,175327,169250,169166,174470,193453,210725,229761
" "," "," "," "," ","Median Price (Euro)",225000,172000,155000,146000,149000,152000,175000,195000,210000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",380,411,509,582,847,1076,1110,1143,1116
" "," "," "," "," ","Value of Sales (Euro Million)",75.3,68.3,79.2,75.4,115.2,145.7,162.6,180.4,190.3
" "," "," "," "," ","Mean Sale Price (Euro)",198152,166209,155573,129495,136067,135390,146453,157868,170488
" "," "," "," "," ","Median Price (Euro)",181785,155000,135000,115000,115000,115000,125000,142500,155000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",567,573,786,895,1308,1566,1407,1592,1580
" "," "," "," "," ","Value of Sales (Euro Million)",149.8,133.8,147.8,177.9,287.7,370.2,347.2,413.3,439.5
" "," "," "," "," ","Mean Sale Price (Euro)",264161,233577,188085,198741,219928,236405,246736,259588,278151
" "," "," "," "," ","Median Price (Euro)",250000,205000,170000,180000,200000,220000,230000,245000,255500
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",230,258,308,309,467,564,540,578,605
" "," "," "," "," ","Value of Sales (Euro Million)",42.6,43.8,42.0,44.3,66.1,94.0,97.4,104.6,124.4
" "," "," "," "," ","Mean Sale Price (Euro)",185060,169784,136347,143484,141441,166634,180408,180904,205673
" "," "," "," "," ","Median Price (Euro)",165000,145500,123250,127000,122000,140000,162750,165000,187500
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",174,198,245,251,428,486,523,535,558
" "," "," "," "," ","Value of Sales (Euro Million)",29.2,27.3,26.4,27.4,47.4,63.0,70.8,83.7,94.8
" "," "," "," "," ","Mean Sale Price (Euro)",167987,137692,107865,109051,110818,129563,135416,156470,169842
" "," "," "," "," ","Median Price (Euro)",148000,125000,90000,90000,95000,110000,130000,145000,160000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",63,101,113,183,221,324,347,332,363
" "," "," "," "," ","Value of Sales (Euro Million)",8.9,11.2,11.5,15.6,17.9,29.9,31.1,35.4,40.4
" "," "," "," "," ","Mean Sale Price (Euro)",140672,111264,101428,85101,80982,92323,89762,106495,111398
" "," "," "," "," ","Median Price (Euro)",140000,102500,90000,72500,63000,76000,76000,90000,98000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",497,535,578,705,1131,1461,1333,1451,1458
" "," "," "," "," ","Value of Sales (Euro Million)",98.5,95.6,91.8,99.6,147.7,203.1,207.1,240.7,269.3
" "," "," "," "," ","Mean Sale Price (Euro)",198133,178749,158738,141313,130618,139013,155334,165879,184691
" "," "," "," "," ","Median Price (Euro)",185000,166750,150000,122500,114000,120000,140000,145500,174550
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",70,66,106,146,258,312,333,306,346
" "," "," "," "," ","Value of Sales (Euro Million)",9.2,7.3,9.7,10.8,19.2,24.6,29.0,29.1,36.5
" "," "," "," "," ","Mean Sale Price (Euro)",131721,110651,91626,74268,74460,78787,87048,94950,105366
" "," "," "," "," ","Median Price (Euro)",124750,90000,75000,60500,55000,65750,70000,81500,93000
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",321,353,436,517,792,948,933,925,918
" "," "," "," "," ","Value of Sales (Euro Million)",60.4,54.6,58.9,64.7,108.6,140.8,152.3,168.0,187.2
" "," "," "," "," ","Mean Sale Price (Euro)",188031,154690,135002,125145,137088,148515,163202,181613,203912
" "," "," "," "," ","Median Price (Euro)",175000,138000,117500,102500,120000,132250,146000,165000,190000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",272,267,356,407,708,946,921,944,961
" "," "," "," "," ","Value of Sales (Euro Million)",45.0,39.9,44.3,49.5,78.6,110.4,110.0,126.1,130.2
" "," "," "," "," ","Mean Sale Price (Euro)",165510,149337,124458,121520,110972,116729,119448,133580,135453
" "," "," "," "," ","Median Price (Euro)",160000,136000,114250,107000,91000,96750,100000,120000,125000
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",518,443,561,718,1151,1297,1138,1317,1338
" "," "," "," "," ","Value of Sales (Euro Million)",123.7,92.7,101.2,120.6,222.7,262.6,251.0,312.1,340.8
" "," "," "," "," ","Mean Sale Price (Euro)",238796,209216,180445,167941,193465,202505,220600,237015,254694
" "," "," "," "," ","Median Price (Euro)",220000,190000,150000,140500,168000,180000,200000,215000,235000
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",92,79,94,120,196,246,260,292,254
" "," "," "," "," ","Value of Sales (Euro Million)",15.5,9.9,11.3,12.8,20.1,29.2,32.4,38.9,39.8
" "," "," "," "," ","Mean Sale Price (Euro)",168024,125199,120625,106647,102571,118846,124666,133114,156571
" "," "," "," "," ","Median Price (Euro)",148500,110000,97500,86000,83750,104000,118750,130000,150000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",132,145,189,249,381,461,475,480,462
" "," "," "," "," ","Value of Sales (Euro Million)",22.9,19.7,24.3,27.2,46.8,52.3,57.1,71.1,74.5
" "," "," "," "," ","Mean Sale Price (Euro)",173214,136104,128736,109209,122734,113342,120253,148026,161173
" "," "," "," "," ","Median Price (Euro)",156000,121000,112000,92500,102000,102000,107000,138500,157000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",134,149,233,311,378,487,503,536,606
" "," "," "," "," ","Value of Sales (Euro Million)",18.3,17.2,20.5,27.1,31.3,45.3,46.8,58.5,73.5
" "," "," "," "," ","Mean Sale Price (Euro)",136466,115763,88145,87194,82713,92935,93034,109068,121288
" "," "," "," "," ","Median Price (Euro)",135000,98000,77500,70000,67400,75000,75000,89950,102000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",159,154,243,292,476,503,530,566,608
" "," "," "," "," ","Value of Sales (Euro Million)",30.0,21.0,27.6,33.5,58.1,61.3,63.9,79.3,87.2
" "," "," "," "," ","Mean Sale Price (Euro)",188817,136266,113631,114879,122036,121835,120544,140018,143502
" "," "," "," "," ","Median Price (Euro)",157000,120000,97000,92000,99500,100000,95000,114000,115500
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",340,314,400,531,670,952,951,1081,1089
" "," "," "," "," ","Value of Sales (Euro Million)",55.0,45.2,48.5,62.0,86.0,115.4,121.0,147.5,159.1
" "," "," "," "," ","Mean Sale Price (Euro)",161625,143942,121283,116729,128405,121246,127270,136442,146108
" "," "," "," "," ","Median Price (Euro)",151900,135000,100000,98000,100000,102000,110000,125000,137000
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",295,378,453,562,843,1060,1079,992,1089
" "," "," "," "," ","Value of Sales (Euro Million)",55.6,57.3,57.5,65.9,106.7,134.3,153.8,160.4,185.3
" "," "," "," "," ","Mean Sale Price (Euro)",188325,151703,126860,117186,126526,126670,142556,161713,170130
" "," "," "," "," ","Median Price (Euro)",175000,135000,110000,95000,100000,105000,120000,138000,145000
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",216,213,260,378,619,790,725,761,778
" "," "," "," "," ","Value of Sales (Euro Million)",37.4,31.4,30.1,41.8,67.7,93.5,98.7,116.8,137.1
" "," "," "," "," ","Mean Sale Price (Euro)",173307,147204,115862,110529,109385,118392,136171,153420,176249
" "," "," "," "," ","Median Price (Euro)",156750,130000,109000,89000,97000,107000,125500,140000,168350
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",417,482,693,740,1125,1266,1232,1253,1276
